Agent_Id,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,Employee_Id
2150,Yes,"Schrager, Jenny",New York,NY,10001
2151,Yes,"Stacey, Francyne",Ann Arbor,MI,10002
2152,Yes,"Luan, Xue",NEW YORK,NY,10003
2153,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10004
2154,N,No Agent,NA,NA,10005
2155,N,No Agent,NA,NA,10006
2156,Yes,"Nikidis , Alexandra ",Toronto,No Record,10007
2157,N,No Agent,NA,NA,10008
2158,Yes,"Alic, Emina",Troy,MI,10009
2159,N,No Agent,NA,NA,10010
2160,Yes,"Syed, Mohammad",Bethesda,MD,10011
2161,Yes,"Loor, Katarzyna",Salem,MA,10012
2162,N,No Agent,NA,NA,10013
2163,N,No Agent,NA,NA,10014
2164,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10015
2165,N,No Agent,NA,NA,10016
2166,N,No Agent,NA,NA,10017
2167,N,No Agent,NA,NA,10018
2168,Yes,"Khan, Sheeba",Farmington,MI,10019
2169,Yes,"Elder, Christina",Chicago,IL,10020
2170,N,No Agent,NA,NA,10021
2171,N,No Agent,NA,NA,10022
2172,Yes,"Minor, Steven",Bristol,VA,10023
2173,N,No Agent,NA,NA,10024
2174,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10025
2175,Yes,"Estep, Storm",Richardson,TX,10026
2176,N,No Agent,NA,NA,10027
2177,N,No Agent,NA,NA,10028
2178,Yes,"FAURE WENGER, KARINE",SAN DIEGO,CA,10029
2179,Yes,"Ismayil, Nadir",Bethesda,MD,10030
2180,N,No Agent,NA,NA,10031
2181,N,No Agent,NA,NA,10032
2182,Yes,"SOMI REDDY, SANTOSH REDDY",ASHBURN,VA,10033
2183,N,No Agent,NA,NA,10034
2184,N,No Agent,NA,NA,10035
2185,N,No Agent,NA,NA,10036
2186,N,No Agent,NA,NA,10037
2187,N,No Agent,NA,NA,10038
2188,N,No Agent,NA,NA,10039
2189,N,No Agent,NA,NA,10040
2190,Yes,"Mannam, Ravi",Suwanee,GA,10041
2191,N,No Agent,NA,NA,10042
2192,N,No Agent,NA,NA,10043
2193,N,No Agent,NA,NA,10044
2194,N,No Agent,NA,NA,10045
2195,N,No Agent,NA,NA,10046
2196,Yes,"Rajan, Anitha",Minneapolis,MN,10047
2197,Yes,"RAVAL, SACHIN",Hoboken,NJ,10048
2198,Yes,"Burritt, Jason",Washington,DC,10049
2199,N,No Agent,NA,NA,10050
2200,Yes,"Burritt, Jason",Washington,DC,10051
2201,N,No Agent,NA,NA,10052
2202,N,No Agent,NA,NA,10053
2203,N,No Agent,NA,NA,10054
2204,Yes,"Syed, Mohammad",Bethesda,MD,10055
2205,Yes,"Stacey, Francyne",Ann Arbor,MI,10056
2206,Yes,"JONNALAGADDA, ESQ., SRINIVASA R",NEW YORK,NY,10057
2207,N,No Agent,NA,NA,10058
2208,Yes,"SOMI REDDY, SANTOSH REDDY",ASHBURN,VA,10059
2209,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10060
2210,Yes,"TAYLOR, PAIGE (FA-5895870)",ADDISON,TX,10061
2211,N,No Agent,NA,NA,10062
2212,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10063
2213,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10064
2214,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10065
2215,N,No Agent,NA,NA,10066
2216,N,No Agent,NA,NA,10067
2217,N,No Agent,NA,NA,10068
2218,Yes,"Knight, Ryan",Arlington,VA,10069
2219,N,No Agent,NA,NA,10070
2220,Yes,"Dahl, Sarah",New York,NY,10071
2221,Yes,"Shah, Devang",Rockville,MD,10072
2222,Yes,"HERNANDEZ, DIANE",DENVER,CO,10073
2223,N,No Agent,NA,NA,10074
2224,N,No Agent,NA,NA,10075
2225,Yes,"Saleh, Anis",Coral Gables,FL,10076
2226,N,No Agent,NA,NA,10077
2227,N,No Agent,NA,NA,10078
2228,Yes,"ROBLES, ESTEFANIA",NEW YORK,NY,10079
2229,Yes,"FAURE WENGER, KARINE",SAN DIEGO,CA,10080
2230,Yes,"MORELL, AVRAM",NEW YORK,NY,10081
2231,N,No Agent,NA,NA,10082
2232,N,No Agent,NA,NA,10083
2233,N,No Agent,NA,NA,10084
2234,Yes,"Mirer, Joshua",Hartford,CT,10085
2235,N,No Agent,NA,NA,10086
2236,Yes,"Ishar, Iqbal",Lake Success,NY,10087
2237,N,No Agent,NA,NA,10088
2238,N,No Agent,NA,NA,10089
2239,N,No Agent,NA,NA,10090
2240,Yes,"Stone, Jacquelyn",Richmond,VA,10091
2241,Yes,"Hammond, Michael",Cincinnati,OH,10092
2242,Yes,"Stone, Jacquelyn",Richmond,VA,10093
2243,Yes,"Estrella, Jennifer",Miami,FL,10094
2244,N,No Agent,NA,NA,10095
2245,N,No Agent,NA,NA,10096
2246,Yes,"Nalliah, Rajaguru",Irving,TX,10097
2247,N,No Agent,NA,NA,10098
2248,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10099
2249,N,No Agent,NA,NA,10100
2250,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10101
2251,N,No Agent,NA,NA,10102
2252,N,No Agent,NA,NA,10103
2253,N,No Agent,NA,NA,10104
2254,Yes,"Dawson, Che",Seattle,WA,10105
2255,N,No Agent,NA,NA,10106
2256,N,No Agent,NA,NA,10107
2257,Yes,"CHUN-FRUTO, EILEEN",LOS ANGELES,CA,10108
2258,N,No Agent,NA,NA,10109
2259,N,No Agent,NA,NA,10110
2260,Yes,"FAURE WENGER, KARINE",SAN DIEGO,CA,10111
2261,N,No Agent,NA,NA,10112
2262,Yes,"McCrummen, Roger",N. Kansas City,MO,10113
2263,Yes,"SAMUDRALA, MADHAVI",FRISCO,TX,10114
2264,Yes,"Dawson, Che",Seattle,WA,10115
2265,Yes,"Fayad, Nash",Fairfax,VA,10116
2266,Yes,"Wang, Alan",Arcadia ,CA,10117
2267,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10118
2268,Yes,"Shah, Devang",Rockville,MD,10119
2269,N,No Agent,NA,NA,10120
2270,Yes,"Shah, Devang",Rockville,MD,10121
2271,N,No Agent,NA,NA,10122
2272,N,No Agent,NA,NA,10123
2273,Yes,"Locke, Loren",Atlanta,GA,10124
2274,N,No Agent,NA,NA,10125
2275,N,No Agent,NA,NA,10126
2276,N,No Agent,NA,NA,10127
2277,Yes,"Crone, Kristin",Omaha,NE,10128
2278,Yes,"Sanchez-Valdez, Kristal",ARLINGTON,VA,10129
2279,Yes,"Wang, Alan",Arcadia ,CA,10130
2280,N,No Agent,NA,NA,10131
2281,N,No Agent,NA,NA,10132
2282,N,No Agent,NA,NA,10133
2283,N,No Agent,NA,NA,10134
2284,N,No Agent,NA,NA,10135
2285,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10136
2286,N,No Agent,NA,NA,10137
2287,Yes,"Lamboley, Harold",Hamden,CT,10138
2288,Yes,"Locke, Loren",Atlanta,GA,10139
2289,Yes,"Wang, Lu",Syracuse,NY,10140
2290,N,No Agent,NA,NA,10141
2291,Yes,"McCrummen, Roger",N. Kansas City,MO,10142
2292,Yes,"Hines , Richard",New York,NY,10143
2293,Yes,"Lin, Junwen",El Segundo,CA,10144
2294,Yes,"Nalliah, Rajaguru",Irving,TX,10145
2295,N,No Agent,NA,NA,10146
2296,Yes,"ISHAR, IQBAL",LAKE SUCCESS,NY,10147
2297,Yes,"Cheerath, Ram",Elizabethtown,PA,10148
2298,Yes,"McCrummen, Roger",N. Kansas City,MO,10149
2299,N,No Agent,NA,NA,10150
2300,N,No Agent,NA,NA,10151
2301,N,No Agent,NA,NA,10152
2302,N,No Agent,NA,NA,10153
2303,Yes,"Hines , Richard ",New York,NY,10154
2304,Yes,"DANIELSSON, CHARLOTTE",EMERYVILLE,CA,10155
2305,N,No Agent,NA,NA,10156
2306,Yes,"Stock, William",Philadelphia,PA,10157
2307,Yes,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,10158
2308,Yes,"Lamboley, Harold",Hamden,CT,10159
2309,N,No Agent,NA,NA,10160
2310,N,No Agent,NA,NA,10161
2311,Yes,"Evans, Tonjanique",Arlington,VA,10162
2312,Yes,"Jahn, Hannah",Phoenix,AZ,10163
2313,Yes,"Cohen, Robert",Columbus,OH,10164
2314,Yes,"Malakooti, Nobesh",Toronto,No Record,10165
2315,Yes,"Prasad, Rajesh",Chino Hills,CA,10166
2316,Yes,"Leuleseged , Aiemero ",Schaumburg ,IL,10167
2317,Yes,"Mehta, Radhika",Seattle,WA,10168
2318,N,No Agent,NA,NA,10169
2319,N,No Agent,NA,NA,10170
2320,Yes,"Harding, Richard",Agoura Hills,CA,10171
2321,Yes,"Rivera, Justin",Houston,TX,10172
2322,Yes,"Jones, Jowanda",Arlington,VA,10173
2323,N,No Agent,NA,NA,10174
2324,Yes,"Sheppard, Donald",San Diego,CA,10175
2325,Yes,"Spero, Kathleen",San Diego,CA,10176
2326,Yes,"HABBU, HEMANT",SAN JOSE,CA,10177
2327,N,No Agent,NA,NA,10178
2328,Yes,"Campbell, Jacob",Atlanta,GA,10179
2329,Yes,"Owji, Farshad",San Francisco,CA,10180
2330,N,No Agent,NA,NA,10181
2331,Yes,"Goddard, Lindsey",Calgary,No Record,10182
2332,Yes,"Bacayan, Karla Jean",SAN FRANCISCO,CA,10183
2333,N,No Agent,NA,NA,10184
2334,Yes,"Winterscheidt, Rebecca",Phoenix,AZ,10185
2335,Yes,"PARVATHANENI, D. CHAND",Dallas,TX,10186
2336,Yes,"Reddy, Rishika",Richardson,TX,10187
2337,Yes,"Malakooti, Nobesh",Toronto,No Record,10188
2338,Yes,"Shin, Susie",Chicago,IL,10189
2339,Yes,"Kinger, Sonal",San Jose,CA,10190
2340,Yes,"Sein, Alexis",Richardson,TX,10191
2341,Yes,"Stock, William",Philadelphia,PA,10192
2342,N,No Agent,NA,NA,10193
2343,Yes,"Abduragimova, Aziza",San Francisco,CA,10194
2344,Yes,"SUD, NATHAN",BOSTON,MA,10195
2345,Yes,"NIEVES, JENNY ",NEW YORK,NY,10196
2346,Yes,"Rooney, Robert",Minneapolis,MN,10197
2347,Yes,"Hoang, Vy",Richardson,TX,10198
2348,Yes,"KENNEDY, ADAIKALA MARY",Schaumburg,IL,10199
2349,Yes,"Feinstein, Jessica",Omaha,NE,10200
2350,N,No Agent,NA,NA,10201
2351,Yes,"Malakooti, Nobesh",Toronto,No Record,10202
2352,Yes,"Rivolta, Nicolo",San Francisco,CA,10203
2353,N,No Agent,NA,NA,10204
2354,Yes,"Caravello, Christopher",Richardson,TX,10205
2355,Yes,"Webster , Matthew",Minneapolis ,MN,10206
2356,Yes,"NIEVES, JENNY ",NEW YORK,NY,10207
2357,Yes,"Yang, Esq., Michelle",Princeton,NJ,10208
2358,Yes,"Brooks, Samantha",Atlanta,GA,10209
