Employee_Change_Id,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,Employee_Id
136,0,0,0,0,1,0,10001
137,0,0,0,0,1,0,10002
138,1,0,0,0,0,0,10003
139,1,0,0,0,0,0,10004
140,1,0,0,0,0,0,10005
141,1,0,0,0,0,0,10006
142,1,0,0,0,0,0,10007
143,1,0,0,0,0,0,10008
144,0,0,0,0,1,0,10009
145,0,0,0,0,0,1,10010
146,1,0,0,0,0,0,10011
147,0,0,0,0,1,0,10012
148,0,0,0,0,1,0,10013
149,0,1,0,0,0,0,10014
150,1,0,0,0,0,0,10015
151,0,0,0,0,0,1,10016
152,5,5,0,0,5,5,10017
153,1,0,0,0,0,0,10018
154,0,0,1,0,0,0,10019
155,0,0,0,0,1,0,10020
156,0,0,0,0,0,1,10021
157,0,0,0,0,0,1,10022
158,0,0,0,1,0,0,10023
159,0,1,0,0,0,0,10024
160,1,0,0,0,0,0,10025
161,1,0,0,0,0,0,10026
162,5,5,0,0,5,5,10027
163,0,1,0,0,0,0,10028
164,0,0,0,0,1,0,10029
165,0,0,0,0,1,0,10030
166,0,1,0,0,0,0,10031
167,0,0,0,0,0,1,10032
168,0,0,0,0,0,1,10033
169,0,1,0,0,0,0,10034
170,1,0,0,0,0,0,10035
171,0,0,0,0,0,1,10036
172,0,0,0,0,0,1,10037
173,0,0,0,0,1,0,10038
174,0,0,0,0,0,1,10039
175,0,0,0,1,0,0,10040
176,1,0,0,0,0,0,10041
177,0,0,0,0,0,1,10042
178,5,5,0,0,5,5,10043
179,0,0,0,0,0,1,10044
180,1,0,0,0,0,0,10045
181,0,0,0,0,1,0,10046
182,0,0,0,0,1,0,10047
183,0,0,0,0,0,1,10048
184,0,1,0,0,0,0,10049
185,1,0,0,0,0,0,10050
186,0,0,0,0,0,1,10051
187,0,0,0,0,0,1,10052
188,0,0,0,0,0,1,10053
189,0,1,0,0,0,0,10054
190,1,0,0,0,0,0,10055
191,0,0,0,0,1,1,10056
192,1,0,0,0,0,0,10057
193,2,0,0,0,0,0,10058
194,1,0,0,0,0,0,10059
195,1,0,0,0,0,0,10060
196,0,1,0,0,0,0,10061
197,0,0,0,0,0,1,10062
198,1,0,0,0,0,0,10063
199,1,0,0,0,0,0,10064
200,1,0,0,0,0,0,10065
201,0,1,0,0,0,0,10066
202,0,0,0,0,0,1,10067
203,1,0,0,0,0,0,10068
204,0,0,0,0,1,0,10069
205,1,0,0,0,0,0,10070
206,0,1,0,0,0,0,10071
207,0,0,0,0,0,1,10072
208,0,0,0,1,0,0,10073
209,1,0,0,0,0,0,10074
210,0,1,0,0,0,0,10075
211,0,0,0,0,1,0,10076
212,1,0,0,0,0,0,10077
213,1,0,0,0,0,0,10078
214,0,0,0,0,1,0,10079
215,0,0,1,0,0,0,10080
216,0,0,0,0,1,0,10081
217,1,0,0,0,0,0,10082
218,0,0,0,0,1,0,10083
219,1,0,0,0,0,0,10084
220,0,0,0,0,0,1,10085
221,0,1,0,0,0,0,10086
222,0,1,0,0,0,0,10087
223,1,0,0,0,0,0,10088
224,1,0,0,0,0,0,10089
225,1,0,0,0,0,0,10090
226,1,0,0,0,0,0,10091
227,1,0,0,0,0,0,10092
228,1,0,0,0,0,0,10093
229,0,0,0,0,1,0,10094
230,1,0,0,0,0,0,10095
231,1,0,0,0,0,0,10096
232,1,0,0,0,0,0,10097
233,1,0,0,0,0,0,10098
234,1,0,0,0,0,0,10099
235,1,0,0,0,0,0,10100
236,1,0,0,0,0,0,10101
237,1,0,0,0,0,0,10102
238,1,0,0,0,0,0,10103
239,1,0,0,0,0,0,10104
240,0,0,0,0,1,0,10105
241,1,0,0,0,0,0,10106
242,1,0,0,0,0,0,10107
243,0,0,0,0,1,0,10108
244,1,0,0,0,0,0,10109
245,1,0,0,0,0,0,10110
246,0,0,1,0,0,0,10111
247,1,0,0,0,0,0,10112
248,0,0,0,0,1,0,10113
249,1,0,0,0,0,0,10114
250,0,0,0,0,1,0,10115
251,1,0,0,0,0,0,10116
252,1,0,0,0,0,0,10117
253,1,0,0,0,0,0,10118
254,0,0,0,0,1,0,10119
255,0,0,0,0,0,1,10120
256,0,1,0,0,0,0,10121
257,1,0,0,0,0,0,10122
258,1,0,0,0,0,0,10123
259,0,0,1,0,0,0,10124
260,1,0,0,0,0,0,10125
261,1,2,1,0,1,1,10126
262,1,0,0,0,0,0,10127
263,0,0,1,0,0,0,10128
264,0,0,0,0,1,0,10129
265,1,0,0,0,0,0,10130
266,1,0,0,0,0,0,10131
267,0,0,0,0,0,1,10132
268,0,1,0,0,0,0,10133
269,1,0,0,0,0,0,10134
270,1,0,0,0,0,0,10135
271,1,0,0,0,0,0,10136
272,1,0,0,0,0,0,10137
273,0,1,0,0,0,0,10138
274,20,4,0,0,0,0,10139
275,1,0,0,0,0,0,10140
276,0,1,0,0,0,0,10141
277,0,0,0,0,1,0,10142
278,0,1,0,0,0,0,10143
279,0,0,0,0,1,0,10144
280,1,0,0,0,0,0,10145
281,1,0,0,0,0,0,10146
