Employee_Id,JOB_TITLE,FULL_TIME_POSITION,Employer_Id
10001,APPLICATIONS SUPPORT ANALYST/ADMINISTRATOR,Y,100
10002,Designer,Y,101
10003,Data Analyst,Y,102
10004,Pharmaceutical Chemist,Y,103
10005,Senior Systems Analyst JC60,Y,104
10006,Regional Sales Manager,Y,105
10007,Software Engineer - CAS-77363-R8X2M5,Y,106
10008,Quality Assurance Analyst ,Y,107
10009,Technical Architect,Y,108
10010,Senior Manager JC45,Y,109
10011,Data Scientist,Y,110
10012,"Scientist 1, Analytical",Y,111
10013,COMPUTER SYSTEMS ANALYST,Y,112
10014,SOFTWARE DEVELOPER,Y,113
10015,Pharmaceutical Chemist,Y,114
10016,Manager JC50,Y,115
10017,"Computer Software Engineer, Applications",Y,116
10018,Sr. Software Engineer,Y,117
10019,PHYSICAL THERAPIST,Y,118
10020,Sr. Software Engineer,Y,119
10021,Senior Manager JC45,Y,120
10022,Manager JC50,Y,121
10023,Digital Marketing Specialist / Digital Marketing Strategist,N,122
10024,System Analyst JC65,Y,123
10025,Quality Control Analyst,Y,124
10026,Software Engineer,Y,125
10027,"Computer Software Engineer, Applications",Y,126
10028,EXECUTIVE PRODUCER,Y,127
10029,Staff CPU Engineer,Y,128
10030,Engineering Manager,Y,129
10031,Senior Manager JC45,Y,130
10032,Manager JC50,Y,131
10033,Software Developer,Y,132
10034,Assistant Professor,Y,133
10035,QUALITY CONTROL SUPERVISOR,Y,134
10036,Manager JC50,Y,135
10037,Senior Systems Analyst JC60,Y,136
10038,Software Developer,Y,137
10039,Manager JC50,Y,138
10040,Software Engineer,N,139
10041,IT Consultant (Cloud DevOps Engineer),Y,140
10042,Manager JC50,Y,141
10043,"Computer Software Engineer, Applications",Y,142
10044,Senior Systems Analyst JC60,Y,143
10045,Manager JC50,Y,144
10046,MANAGEMENT ANALYST,Y,145
10047,Application Developer - Senior,Y,146
10048,Clinical Analyst,Y,147
10049,Senior Design Engineer - Electrical,Y,148
10050,Software Tester,Y,149
10051,"Principal Engineer,  M&A Integration",Y,150
10052,Senior Systems Analyst JC60,Y,151
10053,Manager JC50,Y,152
10054,System Analyst JC65,Y,153
