Site_Id,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,Employee_Id
141,Atlanta,FULTON,GA,30309,10001
142,Saline,WASHTENAW,MI,48176,10002
143,Somerville,SOMERVILLE CITY,MA,2143,10003
144,Baudette,LAKE OF THE WOODS,MN,56623,10004
145,CORDOVA,SHELBY,TN,38016,10005
146,Cassopolis,CASS,MI,49031,10006
147,San Jose,SANTA CLARA,CA,95134,10007
148,Houston,HARRIS,TX,77099,10008
149,Reston,FAIRFAX,VA,20190,10009
150,Newington,HARTFORD CITY,CT,6111,10010
151,Baltimore,BALTIMORE CITY,MD,21230,10011
152,Shrewsbury,SHREWSBURY,MA,1545,10012
153,O'FALLON,ST CHARLES,MO,63366,10013
154,NINNEKAH,GRADY,OK,73067,10014
155,Baudette,LAKE OF THE WOODS,MN,56623,10015
156,Alpharetta,FULTON,GA,30005,10016
157,New York,NEW YORK,NY,10017,10017
158,Plano,COLLIN,TX,75024,10018
159,Southfield,OAKLAND,MI,48075,10019
160,Seattle,KING,WA,98121,10020
161,Hartford,EAST HARTFORD,CT,6103,10021
162,Schaumburg,COOK,IL,60195,10022
163,Bristol,SULLIVAN,TN,37620,10023
164,Louisville,JEFFERSON,KY,40220,10024
165,EAST WINDSOR,MERCER,NJ,8520,10025
166,MENLO PARK,SAN MATEO,CA,94025,10026
167,Sunnyvale,SANTA CLARA,CA,94085,10027
168,MIAMI,MIAMI-DADE  (OLD DEF),FL,33133,10028
169,San Jose,SANTA CLARA,CA,95134,10029
170,NEW YORK,NEW YORK,NY,10007,10030
171,Princeton,MERCER,NJ,8540,10031
172,North Wales,MONTGOMERY,PA,19454,10032
173,Erlanger,KENTON,KY,41018,10033
174,Baltimore,BALTIMORE CITY,MD,21251,10034
175,GLOUSCESTER CITY,CAMDEN,NJ,8030,10035
176,Chicago,COOK,IL,60607,10036
177,Winston-Salem,FORSYTH,NC,27106,10037
178,Albany,ALBANY,NY,12210,10038
