Employee_Wage_Id,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,Employee_Id
1468,87485.0,Year,II,92000.0,0.0,Year,10001
1469,56181.0,Year,II,56181.0,61000.0,Year,10002
1470,59238.0,Year,I,60000.0,0.0,Year,10003
1471,53851.0,Year,I,56160.0,0.0,Year,10004
1472,70325.0,Year,II,70325.0,0.0,Year,10005
1473,90730.0,Year,II,90730.0,115898.0,Year,10006
1474,104291.0,Year,I,130000.0,0.0,Year,10007
1475,69888.0,Year,II,90000.0,0.0,Year,10008
1476,98550.0,Year,II,98550.0,115000.0,Year,10009
1477,106933.0,Year,IV,106933.0,0.0,Year,10010
1478,82202.0,Year,II,90000.0,0.0,Year,10011
1479,84947.0,Year,II,92000.0,0.0,Year,10012
1480,76606.0,Year,II,76606.0,86000.0,Year,10013
1481,60341.0,Year,I,60341.0,0.0,Year,10014
1482,53851.0,Year,I,60000.0,0.0,Year,10015
1483,94203.0,Year,III,94203.0,0.0,Year,10016
1484,110408.0,Year,No Record,110408.0,0.0,Year,10017
1485,58177.0,Year,No Record,58177.0,67475.0,Year,10018
1486,77709.0,Year,II,77709.0,0.0,Year,10019
1487,162510.0,Year,IV,185000.0,0.0,Year,10020
1488,106933.0,Year,IV,106933.0,0.0,Year,10021
1489,93600.0,Year,III,93600.0,0.0,Year,10022
1490,21.58,Hour,II,22.0,0.0,Hour,10023
1491,70533.0,Year,II,70533.0,0.0,Year,10024
1492,46946.0,Year,III,60000.0,0.0,Year,10025
1493,121763.0,Year,II,130340.0,0.0,Year,10026
1494,124174.0,Year,No Record,124174.0,0.0,Year,10027
1495,75566.0,Year,III,77750.0,0.0,Year,10028
1496,148221.0,Year,III,148221.0,221800.0,Year,10029
1497,201323.0,Year,III,235000.0,0.0,Year,10030
1498,120224.0,Year,IV,120224.0,0.0,Year,10031
1499,105040.0,Year,III,105040.0,0.0,Year,10032
1500,86382.0,Year,II,86382.0,86400.0,Year,10033
1501,67157.0,Year,II,69000.0,70000.0,Year,10034
1502,49338.0,Year,II,49338.0,0.0,Year,10035
1503,93600.0,Year,III,93600.0,0.0,Year,10036
1504,76794.0,Year,II,76794.0,0.0,Year,10037
1505,99986.0,Year,III,99986.0,101920.0,Year,10038
1506,105040.0,Year,III,105040.0,0.0,Year,10039
1507,38.62,Hour,II,41.65,0.0,Hour,10040
1508,45.58,Hour,II,46.0,49.7,Hour,10041
1509,93600.0,Year,III,93600.0,0.0,Year,10042
1510,97115.0,Year,III,97115.0,0.0,Year,10043
1511,78187.0,Year,II,78187.0,0.0,Year,10044
1512,111384.0,Year,III,111384.0,0.0,Year,10045
1513,82202.0,Year,II,82202.0,85000.0,Year,10046
1514,111176.0,Year,III,120000.0,0.0,Year,10047
1515,102336.0,Year,II,102336.0,0.0,Year,10048
1516,69077.0,Year,II,69077.0,91707.53,Year,10049
1517,78562.0,Year,II,90000.0,0.0,Year,10050
1518,88462.0,Year,IV,88462.0,126000.0,Year,10051
1519,78187.0,Year,II,78187.0,0.0,Year,10052
1520,99861.0,Year,III,99861.0,0.0,Year,10053
1521,70533.0,Year,II,70533.0,0.0,Year,10054
1522,83221.0,Year,II,90000.0,0.0,Year,10055
1523,56181.0,Year,II,61000.0,0.0,Year,10056
1524,94037.0,Year,II,95000.0,0.0,Year,10057
1525,19.91,Hour,I,19.91,25.0,Hour,10058
1526,88254.0,Year,II,88254.0,88300.0,Year,10059
1527,1805.6,Bi-Weekly,III,2160.0,0.0,Bi-Weekly,10060
1528,145454.0,Year,IV,208000.0,0.0,Year,10061
1529,105040.0,Year,III,105040.0,0.0,Year,10062
1530,53851.0,Year,I,56160.0,0.0,Year,10063
1531,53851.0,Year,I,56160.0,0.0,Year,10064
1532,53851.0,Year,I,60000.0,0.0,Year,10065
1533,97760.0,Year,III,120000.0,0.0,Year,10066
1534,81952.0,Year,II,81952.0,0.0,Year,10067
1535,54540.0,Year,No Record,54540.0,0.0,Year,10068
1536,94806.0,Year,II,110000.0,0.0,Year,10069
1537,72800.0,Year,II,72800.0,0.0,Year,10070
1538,119933.0,Year,III,122000.0,142000.0,Year,10071
1539,113339.0,Year,III,114000.0,0.0,Year,10072
1540,71.86,Hour,IV,90.0,0.0,Hour,10073
1541,130894.0,Year,II,131000.0,0.0,Year,10074
1542,75610.0,Year,II,108675.0,0.0,Year,10075
1543,84510.0,Year,II,85000.0,0.0,Year,10076
1544,80330.0,Year,II,89400.0,95300.0,Year,10077
1545,79498.0,Year,II,90900.0,94300.0,Year,10078
1546,101754.0,Year,II,150000.0,0.0,Year,10079
1547,120224.0,Year,III,120224.0,174200.0,Year,10080
1548,127400.0,Year,IV,145000.0,0.0,Year,10081
1549,84552.0,Year,II,84552.0,0.0,Year,10082
1550,80163.0,Year,II,102000.0,124000.0,Year,10083
1551,87485.0,Year,II,89500.0,99300.0,Year,10084
1552,119475.0,Year,IV,119475.0,212500.0,Year,10085
1553,97760.0,Year,I,97760.0,97765.0,Year,10086
